infinitive,sg1,sg2,sg3,pl1,pl2,pl3
tener,tendré,tendrás,tendrá,tendremos,tendréis,tendrán
comer,comeré,comerás,comerá,comeremos,comeréis,comerán
vivir,viviré,vivirás,vivirá,viviremos,viviréis,vivirán
estar,estaré,estarás,estará,estaremos,estaréis,estarán
ser,seré,serás,será,seremos,seréis,serán
ir,iré,irás,irá,iremos,iréis,irán
hacer,haré,harás,hará,haremos,haréis,harán
ver,veré,verás,verá,veremos,veréis,verán
poder,podré,podrás,podrá,podremos,podréis,podrán
querer,querré,querrás,querrá,querremos,querréis,querrán
dar,daré,darás,dará,daremos,daréis,darán
leer,leeré,leerás,leerá,leeremos,leeréis,leerán
venir,vendré,vendrás,vendrá,vendremos,vendréis,vendrán
hablar,hablaré,hablarás,hablará,hablaremos,hablaréis,hablarán
saber,sabré,sabrás,sabrá,sabremos,sabréis,sabrán
poner,pondré,pondrás,pondrá,pondremos,pondréis,pondrán
salir,saldré,saldrás,saldrá,saldremos,saldréis,saldrán
dormir,dormiré,dormirás,dormirá,dormiremos,dormiréis,dormirán
volver,volveré,volverás,volverá,volveremos,volveréis,volverán
jugar,jugaré,jugarás,jugará,jugaremos,jugaréis,jugarán
escribir,escribiré,escribirás,escribirá,escribiremos,escribiréis,escribirán
encontrar,encontraré,encontrarás,encontrará,encontraremos,encontraréis,encontrarán
llegar,llegaré,llegarás,llegará,llegaremos,llegaréis,llegarán
empezar,empezaré,empezarás,empezará,empezaremos,empezaréis,empezarán
tomar,tomaré,tomarás,tomará,tomaremos,tomaréis,tomarán
conocer,conoceré,conocerás,conocerá,conoceremos,conoceréis,conocerán
perder,perderé,perderás,perderá,perderemos,perderéis,perderán
