infinitive,sg1,sg2,sg3,pl1,pl2,pl3
tener,tenía,tenías,tenía,teníamos,teníais,tenían
comer,comía,comías,comía,comíamos,comíais,comían
vivir,vivía,vivías,vivía,vivíamos,vivíais,vivían
estar,estaba,estabas,estaba,estábamos,estabais,estaban
ser,era,eras,era,éramos,erais,eran
ir,iba,ibas,iba,íbamos,ibais,iban
hacer,hacía,hacías,hacía,hacíamos,hacíais,hacían
ver,veía,veías,veía,veíamos,veíais,veían
poder,podía,podías,podía,podíamos,podíais,podían
querer,quería,querías,quería,queríamos,queríais,querían
dar,daba,dabas,daba,dábamos,dabais,daban
leer,leía,leías,leía,leíamos,leíais,leían
venir,venía,venías,venía,veníamos,veníais,venían
hablar,hablaba,hablabas,hablaba,hablábamos,hablabais,hablaban
saber,sabía,sabías,sabía,sabíamos,sabíais,sabían
poner,ponía,ponías,ponía,poníamos,poníais,ponían
salir,salía,salías,salía,salíamos,salíais,salían
dormir,dormía,dormías,dormía,dormíamos,dormíais,dormían
volver,volvía,volvías,volvía,volvíamos,volvíais,volvían
jugar,jugaba,jugabas,jugaba,jugábamos,jugabais,jugaban
escribir,escribía,escribías,escribía,escribíamos,escribíais,escribían
encontrar,encontraba,encontrabas,encontraba,encontrábamos,encontrabais,encontraban
llegar,llegaba,llegabas,llegaba,llegábamos,llegabais,llegaban
empezar,empezaba,empezabas,empezaba,empezábamos,empezabais,empezaban
tomar,tomaba,tomabas,tomaba,tomábamos,tomabais,tomaban
conocer,conocía,conocías,conocía,conocíamos,conocíais,conocían
perder,perdía,perdías,perdía,perdíamos,perdíais,perdían
