infinitive,sg1,sg2,sg3,pl1,pl2,pl3
tener,,ten,tenga,,tened,tengan
comer,,come,coma,,comed,coman
vivir,,vive,viva,,vivid,vivan
estar,,está,esté,,estad,estén
ser,,sé,sea,,sed,sean
ir,,ve,vaya,,id,vayan
hacer,,haz,haga,,haced,hagan
ver,,ve,vea,,ved,vean
poder,,puede,pueda,,poded,puedan
querer,,quiere,quiera,,quered,quieran
dar,,da,dé,,dad,den
leer,,lee,lea,,leed,lean
venir,,ven,venga,,venid,vengan
hablar,,habla,hable,,hablad,hablen
saber,,sabe,sepa,,sabed,sepan
poner,,pon,ponga,,poned,pongan
salir,,sal,salga,,salid,salgan
dormir,,duerme,duerma,,dormid,duerman
volver,,vuelve,vuelva,,volved,vuelvan
jugar,,juega,juegue,,jugad,jueguen
escribir,,escribe,escriba,,escribid,escriban
encontrar,,encuentra,encuentre,,encontrad,encuentren
llegar,,llega,llegue,,llegad,lleguen
empezar,,empieza,empiece,,empezad,empiecen
tomar,,toma,tome,,tomad,tomen
conocer,,conoce,conozca,,conoced,conozcan
perder,,pierde,pierda,,perded,pierdan
