infinitive,sg1,sg2,sg3,pl1,pl2,pl3
tener,,no tengas,no tenga,,no tengáis,no tengan
comer,,no comas,no coma,,no comáis,no coman
vivir,,no vivas,no viva,,no viváis,no vivan
estar,,no estés,no esté,,no estéis,no estén
ser,,no seas,no sea,,no seais,no sean
ir,,no vayas,no vaya,,no vayáis,no vayan
hacer,,no hagas,no haga,,no hagáis,no hagan
ver,,no veas,no vea,,no veáis,no vean
poder,,no puedas,no pueda,,no podáis,no puedan
querer,,no quieras,no quiera,,no queráis,no quieran
dar,,no des,no dé,,no deis,no den
leer,,no leas,no lea,,no leáis,no lean
venir,,no vengas,no venga,,no vengáis,no vengan
hablar,,no hables,no hable,,no habléis,no hablen
saber,,no sepas,no sepa,,no sepáis,no sepan
poner,,no pongas,no ponga,,no pongáis,no pongan
salir,,no salgas,no salga,,no salgáis,no salgan
dormir,,no duermas,no duerma,,no durmáis,no duerman
volver,,no vuelvas,no vuelva,,no volváis,no vuelvan
jugar,,no juegues,no juegue,,no juguéis,no jueguen
escribir,,no escribas,no escriba,,no escribáis,no escriban
encontrar,,no encuentres,no encuentre,,no encontréis,no encuentren
llegar,,no llegues,no llegue,,no lleguéis,no lleguen
empezar,,no empieces,no empiece,,no empecéis,no empiecen
tomar,,no tomes,no tome,,no toméis,no tomen
conocer,,no conozcas,no conozca,,no conozcáis,no conozcan
perder,,no pierdas,no pierda,,no perdáis,no pierdan
