infinitive,sg1,sg2,sg3,pl1,pl2,pl3
tener,tengo,tienes,tiene,tenemos,tenéis,tienen
comer,como,comes,come,comemos,coméis,comen
vivir,vivo,vives,vive,vivimos,vivís,viven
estar,estoy,estás,está,estamos,estáis,están
ser,soy,eres,es,somos,sois,son
ir,voy,vas,va,vamos,vais,van
hacer,hago,haces,hace,hacemos,hacéis,hacen
ver,veo,ves,ve,vemos,veis,ven
poder,puedo,puedes,puede,podemos,podéis,pueden
querer,quiero,quieres,quiere,queremos,queréis,quieren
dar,doy,das,da,damos,dais,dan
leer,leo,lees,lee,leemos,leéis,leen
venir,vengo,vienes,viene,venimos,venís,vienen
hablar,hablo,hablas,habla,hablamos,habláis,hablan
saber,sé,sabes,sabe,sabemos,sabéis,saben
poner,pongo,pones,pone,ponemos,ponéis,ponen
salir,salgo,sales,sale,salimos,salís,salen
dormir,duermo,duermes,duerme,dormimos,dormís,duermen
volver,vuelvo,vuelves,vuelve,volvemos,volvéis,vuelven
jugar,juego,juegas,juega,jugamos,jugáis,juegan
escribir,escribo,escribes,escribe,escribimos,escribís,escriben
encontrar,encuentro,encuentras,encuentra,encontramos,encontráis,encuentran
llegar,llego,llegas,llega,llegamos,llegáis,llegan
empezar,empiezo,empiezas,empieza,empezamos,empezáis,empiezan
tomar,tomo,tomas,toma,tomamos,tomáis,toman
conocer,conozco,conoces,conoce,conocemos,conocéis,conocen
perder,pierdo,pierdes,pierde,perdemos,perdéis,pierden
